CP,UMB,NCBI
49,103,GCF_003892645
50,149,GCF_003892555
51,276,GCF_003892545
52,527,GCF_003892535
53,731,GCF_003892485
54,906,GCF_003886695
55,923,GCF_003892635
56,928,GCF_003892445
57,931,GCF_003886495
58,933,GCF_003886675
59,934,GCF_003892475
105,939,GCF_003885295
60,949,GCF_003892435
61,1012,GCF_003886455
62,1091,GCF_003886445
106,1093,GCF_003885215
63,1160,GCF_003892605
107,1161,GCF_003885195
64,1162,GCF_003892455
65,1180,GCF_003892375
66,1193,GCF_003892595
67,1195,GCF_003886435
68,1202,GCF_003886395
69,1220,GCF_003886385
70,1221,GCF_003885055
71,1223,GCF_003886375
72,1225,GCF_003886735
73,1228,GCF_003886655
74,1229,GCF_003886345
75,1284,GCF_003892355
76,1285,GCF_003886635
77,1335,GCF_003886615
78,1337,GCF_003886325
79,1346,GCF_003886295
80,1347,GCF_003886285
81,1348,GCF_003886275
82,1354,GCF_003886225
83,1356,GCF_003886245
84,1358,GCF_003886195
85,1359,GCF_003886185
86,1360,GCF_003886565
87,1362,GCF_003886175
88,1526,GCF_003886105
89,1727,GCF_003886135
90,2019,GCF_003886115
91,2055,GCF_003886095
93,2328,GCF_003886545
94,3538,GCF_003886535
108,3641,GCF_003885305
95,3643,GCF_003885095
96,4656,GCF_003886515
109,4716,GCF_003885995
97,4746,GCF_003886045
98,5337,GCF_003886035
99,5814,GCF_003886015
100,5924,GCF_003886005
101,5978,GCF_003885915
102,6454,GCF_003885245
111,6471,GCF_003885155
103,6611,GCF_003885875
UMB6653,6653,GCF_003885965
112,6655,GCF_003885255
113,6713,GCF_003885145
UMB6721,6721,GCF_003885125
115,6890,GCF_003885035
UMB7431,7431,GCF_003885225
